season,round,date,time,referee,home_team,away_team,result,home_score,away_score,home_gk_saves,away_gk_saves,home_penalties,away_penalties,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_on_target_from_penalty_area,away_shots_on_target_from_penalty_area,home_fouls,away_fouls,home_woodwork_hits,away_woodwork_hits,home_goal_chances,away_goal_chances,home_assists,away_assists,home_offsides,away_offsides,home_corner_kicks,away_corner_kicks,home_yel_cards,away_yel_cards,home_red_cards,away_red_cards,home_crosses,away_crosses,home_long_throws,away_long_throws,home_attacks_from_center,away_attacks_from_center,home_attacks_from_right,away_attacks_from_right,home_attacks_from_left,away_attacks_from_left
2005-06,3,2005-09-18,15:00,PAOLO BERTINI,SAMPDORIA,MILAN,home,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,PAOLO SILVIO,LAZIO,TREVISO,home,3,1,0,3,1,0,12,4,6,1,6,3,0,0,21,18,0,0,-,-,4,2,5,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,20:30,MATTEO SIMONE,LIVORNO,ROMA,draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,GIANLUCA ROCCHI,ROBUR SIENA,PALERMO,away,1,2,10,4,0,0,11,17,5,12,6,5,0,0,15,12,0,0,-,-,1,2,5,3,6,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,PAOLO DONDARINI,FIORENTINA,UDINESE,home,4,2,4,2,0,1,9,11,6,6,3,5,0,0,20,15,0,0,-,-,2,1,2,4,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,PAOLO TAGLIAVENTO,JUVENTUS,ASCOLI,home,2,1,2,1,1,0,9,7,3,3,6,4,0,0,0,0,0,0,-,-,0,0,5,4,9,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,SALVATORE RACALBUTO,REGGINA,CHIEVOVERONA,away,1,3,3,3,0,0,10,9,4,6,6,3,0,0,17,13,0,0,-,-,0,0,1,1,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,3,2005-09-18,15:00,ANTONIO DANILO,CAGLIARI,MESSINA,draw,1,1,1,0,0,0,7,12,1,2,6,10,0,0,23,23,0,0,-,-,4,0,2,0,9,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,4,2005-09-21,20:30,DANIELE TOMBOLINI,ROMA,PARMA,home,4,1,0,5,0,0,12,5,9,1,3,4,0,0,14,12,0,0,-,-,4,0,4,3,7,6,2,3,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,PASQUALE RODOMONTI,PALERMO,REGGINA,home,1,0,1,7,0,0,15,6,9,1,6,5,0,0,17,17,1,0,-,-,2,0,1,1,10,5,2,4,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,EMIDIO MORGANTI,CHIEVOVERONA,INTER,away,0,1,6,2,0,0,5,15,2,7,3,8,0,0,20,14,0,0,-,-,0,2,0,2,1,7,2,2,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,MASSIMO DE,LECCE,FIORENTINA,away,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,3,1,1,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,NICOLA RIZZOLI,EMPOLI,CAGLIARI,home,3,1,2,3,0,0,8,7,6,3,2,4,0,0,14,17,0,0,-,-,0,1,1,0,5,6,3,3,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,ROBERTO ROSETTI,MESSINA,LIVORNO,draw,0,0,4,7,0,0,10,6,7,4,3,2,0,0,23,11,0,0,-,-,2,1,2,4,7,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,DOMENICO MESSINA,MILAN,LAZIO,home,2,0,2,4,0,0,10,5,6,2,4,3,0,0,13,5,0,0,-,-,3,0,2,2,3,1,0,1,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,NICOLA AYROLDI,UDINESE,JUVENTUS,away,0,1,2,3,0,0,8,8,3,3,5,5,0,0,23,20,0,0,-,-,0,1,10,8,3,1,3,1,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,LUCA BANTI,TREVISO,SAMPDORIA,away,0,2,4,4,0,0,11,9,4,6,7,3,0,0,13,16,1,0,-,-,0,2,2,1,3,4,3,0,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,4,2005-09-21,20:30,NICOLA STEFANINI,ASCOLI,ROBUR SIENA,draw,1,1,5,2,0,0,8,10,3,6,5,4,0,0,19,11,0,0,-,-,3,2,4,6,2,3,1,2,0,0,-,-,-,-,-,-,-,-,-,-
2005-06,5,2005-09-24,20:30,TIZIANO PIERI,PARMA,JUVENTUS,away,1,2,1,0,0,0,2,5,1,2,1,3,0,0,29,28,0,0,-,-,1,3,5,1,2,5,3,3,0,0,7,18,18,19,9,12,2,6,5,6
2005-06,5,2005-09-24,18:00,MARCO GABRIELE,REGGINA,UDINESE,home,2,0,1,1,0,0,6,6,3,1,3,5,0,0,21,27,0,0,-,-,1,0,5,2,4,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,OBERDAN PANTANA,EMPOLI,LECCE,home,1,0,2,1,0,0,6,11,2,3,4,8,0,0,19,22,0,1,-,-,1,1,3,0,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,ANDREA DE,ROBUR SIENA,MESSINA,home,4,2,2,2,0,0,13,8,6,4,7,4,0,0,20,21,0,0,-,-,2,0,5,3,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,MASSIMILIANO SACCANI,LAZIO,PALERMO,home,4,2,2,3,0,0,10,12,7,4,3,8,0,0,19,19,0,0,-,-,5,5,9,0,8,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,20:30,STEFANO FARINA,INTER,FIORENTINA,home,1,0,1,5,0,0,9,1,7,1,2,0,0,0,27,23,1,0,-,-,5,1,3,3,7,3,2,3,0,0,16,9,18,22,14,7,5,1,8,2
2005-06,5,2005-09-25,15:00,LUCA PALANCA,TREVISO,MILAN,away,0,2,2,3,0,1,6,9,3,4,3,5,0,0,21,14,0,0,-,-,3,5,2,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,ANTONIO DATTILO,CAGLIARI,ROMA,draw,0,0,5,1,0,0,7,11,2,6,5,5,0,0,14,18,1,1,-,-,2,2,4,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,CHRISTIAN BRIGHI,LIVORNO,ASCOLI,home,2,0,6,2,1,0,10,8,4,6,6,2,0,0,6,11,0,0,-,-,17,2,1,1,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,5,2005-09-25,15:00,STEFANO CASSAR,SAMPDORIA,CHIEVOVERONA,away,1,2,5,3,0,0,7,8,4,7,3,1,0,0,18,28,0,0,-,-,2,1,3,1,6,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-01,18:00,MARIO MAZZOLENI,CHIEVOVERONA,TREVISO,draw,0,0,2,1,0,0,10,6,1,2,9,4,0,0,18,16,0,0,-,-,1,1,5,0,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-01,20:30,ROBERTO ROSETTI,UDINESE,LAZIO,home,3,0,1,4,1,0,10,3,6,1,4,2,0,0,18,24,0,0,-,-,6,3,1,5,10,2,2,3,0,0,21,17,17,13,20,8,9,7,8,4
2005-06,6,2005-10-02,15:00,MASSIMO DE,MESSINA,SAMPDORIA,away,1,4,3,8,1,1,18,11,9,7,9,4,0,0,14,21,1,0,-,-,0,0,2,3,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-02,15:00,NICOLA AYROLDI,FIORENTINA,LIVORNO,home,3,2,2,1,0,0,11,7,4,4,7,3,0,0,14,16,0,0,-,-,2,1,6,1,2,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0
